9.64375E-20,3.125,6.25,9.375,12.5,15.625,18.75,21.875,25,28.125,31.25,34.375,37.5,40.625,43.7501,46.8754,50.0019,53.1335,56.2849,59.5054,62.9419,66.9835,72.5378,81.4536,96.9685,123.822,167.461,231.886,316.417,412.819,505.039,573.047,600
9.18417E-20,2.4114,4.84594,7.3153,9.82442,12.3733,14.9593,17.5787,20.2285,22.9073,25.616,28.3587,31.1437,33.984,36.8997,39.9201,43.0891,46.4745,50.1849,54.4049,59.4591,65.9225,74.7858,87.646,106.82,135.187,175.523,229.269,295.055,367.886,440.262,506.599,573.047
7.93273E-20,1.72647,3.49488,5.32885,7.23875,9.22524,11.2835,13.4066,15.5888,17.8273,20.124,22.4866,24.9307,27.4809,30.1745,33.0654,36.2315,39.7862,43.8981,48.8225,54.9504,62.8776,73.4861,88.0056,107.989,135.112,170.716,215.146,267.152,323.846,381.865,440.236,505.039
6.21432E-20,1.08692,2.2305,3.46481,4.80561,6.25478,7.80603,9.45011,11.1789,12.9883,14.8808,16.8673,18.9689,21.2194,23.6692,26.3895,29.4807,33.0827,37.3923,42.6859,49.3513,57.9226,69.1093,83.7944,102.966,127.544,158.085,194.435,235.488,279.29,323.727,367.787,412.819
4.41523E-20,0.501851,1.07146,1.75138,2.56213,3.5071,4.57929,5.76764,7.06215,8.45774,9.95709,11.573,13.3305,15.2697,17.4491,19.9505,22.8852,26.4036,30.7065,36.0604,42.8131,51.4063,62.3756,76.3217,93.8361,115.365,141.019,170.374,202.338,235.191,266.796,294.824,316.417
2.84512E-20,-0.0256885,0.0245077,0.19956,0.523919,1.00247,1.6279,2.38787,3.27094,4.27098,5.39047,6.64311,8.05612,9.67281,11.5557,13.7904,16.4909,19.8056,23.9249,29.0884,35.5902,43.7776,54.0365,66.7551,82.2551,100.689,121.907,145.325,169.815,193.645,214.422,228.842,231.886
1.66279E-20,-0.496718,-0.911813,-1.19165,-1.3088,-1.25712,-1.04404,-0.682841,-0.186199,0.438685,1.19367,2.09238,3.16252,4.44813,6.01218,7.93952,10.3404,13.3542,17.1531,21.9439,27.9664,35.4853,44.7695,56.0559,69.491,85.0515,102.448,121.02,139.64,156.607,169.495,174.835,167.461
8.81378E-21,-0.914631,-1.74374,-2.43048,-2.9453,-3.28118,-3.44566,-3.45279,-3.3164,-3.04484,-2.6373,-2.08105,-1.34923,-0.398978,0.830588,2.42038,4.4734,7.11649,10.5011,14.8017,20.2109,26.9273,35.1351,44.9705,56.4745,69.5311,83.7945,98.6087,112.924,125.199,133.277,134.179,123.822
4.23717E-21,-1.2839,-2.47976,-3.52865,-4.39968,-5.08529,-5.59324,-5.93837,-6.13559,-6.19458,-6.11591,-5.88834,-5.48686,-4.87106,-3.98371,-2.74958,-1.07446,1.1551,4.07078,7.81915,12.5549,18.4285,25.567,34.0461,43.8518,54.8341,66.6522,78.7156,90.1228,99.5997,105.437,105.443,96.9685
1.84747E-21,-1.60923,-3.12891,-4.49888,-5.68754,-6.68714,-7.50582,-8.15924,-8.66347,-9.02958,-9.2598,-9.34483,-9.26209,-8.97435,-8.42882,-7.55655,-6.27225,-4.47493,-2.0499,1.1272,5.18324,10.2363,16.3792,23.6565,32.0356,41.3715,51.3683,61.5385,71.1664,79.2812,84.6547,85.8585,81.4536
7.30579E-22,-1.89501,-3.69969,-5.35332,-6.82398,-8.1041,-9.20231,-10.1352,-10.92,-11.5694,-12.0873,-12.4666,-12.6874,-12.7161,-12.5044,-11.9895,-11.0943,-9.72836,-7.79043,-5.17251,-1.76639,2.52661,7.78209,14.0348,21.2567,29.332,38.03,46.98,55.6529,63.3589,69.2784,72.5593,72.5378
2.62027E-22,-2.14511,-4.19963,-6.10268,-7.82247,-9.35174,-10.6998,-11.8843,-12.9236,-13.8319,-14.6151,-15.2683,-15.7745,-16.1033,-16.2109,-16.0401,-15.5205,-14.5702,-13.0978,-11.0065,-8.199,-4.58631,-0.0978084,5.30508,11.6128,18.7498,26.5566,34.774,43.0363,50.8789,57.7775,63.2402,66.9835
8.5234E-23,-2.36273,-4.63496,-6.75598,-8.69432,-10.4433,-12.0129,-13.4219,-14.6899,-15.8326,-16.8577,-17.7627,-18.533,-19.1417,-19.5489,-19.7018,-19.5358,-18.9751,-17.9352,-16.3257,-14.0552,-11.0369,-7.19739,-2.48651,3.11109,9.56293,16.7762,24.5878,32.7605,40.9919,48.9453,56.3153,62.9419
2.5146E-23,-2.55041,-5.01065,-7.32037,-9.44859,-11.3893,-13.1533,-14.7603,-16.2314,-17.5836,-18.8265,-19.9595,-20.9708,-21.836,-22.5188,-22.9702,-23.1297,-22.9261,-22.2789,-21.1013,-19.303,-16.7957,-13.4984,-9.34573,-4.29607,1.65838,8.48208,16.0879,24.3326,33.0208,41.9214,50.805,59.5054
6.7284E-24,-2.71009,-5.33046,-7.80128,-10.0921,-12.1977,-14.1298,-15.9089,-17.5575,-19.094,-20.5297,-21.8659,-23.093,-24.1892,-25.1208,-25.842,-26.2954,-26.4127,-26.1158,-25.3188,-23.9306,-21.8582,-19.0115,-15.309,-10.6846,-5.09577,1.46803,8.97643,17.351,26.4619,36.1305,46.1443,56.2849
1.63284E-24,-2.84311,-5.59703,-8.20251,-10.6298,-12.8742,-14.9485,-16.8741,-18.6746,-20.37,-21.9728,-23.4863,-24.9026,-26.2024,-27.3542,-28.3145,-29.0283,-29.429,-29.4396,-28.974,-27.9386,-26.2351,-23.7636,-20.4277,-16.1401,-10.8299,-4.45148,3.00558,11.5054,20.9558,31.2004,42.0181,53.1335
