9.64375E-20,1.6129,3.22581,4.83871,6.45161,8.06452,9.67742,11.2903,12.9032,14.5161,16.129,17.7419,19.3548,20.9677,22.5806,24.1935,25.8065,27.4194,29.0323,30.6452,32.2581,33.871,35.4839,37.0968,38.7097,40.3226,41.9355,43.5484,45.1614,46.7745,48.3879,50.0019,51.617,53.2347,54.8573,56.4897,58.1404,59.8248,61.569,63.4169,65.4384,67.7425,70.4922,73.9224,78.3586,84.2329,92.0925,102.595,116.483,134.532,157.472,185.878,220.038,259.826,304.584,353.054,403.367,453.133,499.605,539.925,571.425,591.926,600
9.51912E-20,2.01558,4.03159,6.04732,8.06194,10.0744,12.0834,14.0875,16.0854,18.0754,20.056,22.0257,23.9829,25.9263,27.8548,29.767,31.6622,33.5394,35.3982,37.238,39.0586,40.86,42.6423,44.4059,46.1516,47.8801,49.5928,51.2913,52.9775,54.6542,56.3246,57.9931,59.6652,61.3487,63.0538,64.7949,66.5927,68.4767,70.4896,72.6931,75.175,78.0589,81.5149,85.7712,91.1248,97.9483,106.69,117.864,132.023,149.715,171.422,197.48,227.996,262.761,301.192,342.3,384.724,426.83,466.896,503.401,535.474,563.696,591.926
9.15482E-20,2.41893,4.83825,7.25678,9.67287,12.0845,14.4891,16.884,19.2661,21.6325,23.9801,26.3056,28.6064,30.8795,33.1226,35.3334,37.5099,39.6507,41.7545,43.8204,45.8479,47.837,49.7879,51.7014,53.5788,55.4219,57.2331,59.0155,60.7731,62.5109,64.2352,65.9538,67.6769,69.4175,71.1923,73.0237,74.9412,76.9846,79.2073,81.6814,84.5031,87.7999,91.7373,96.5262,102.428,109.756,118.87,130.167,144.052,160.909,181.048,204.656,231.738,262.068,295.16,330.268,366.435,402.602,437.781,471.336,503.393,535.472,571.425
8.57837E-20,2.82249,5.64508,8.46607,11.2831,14.093,16.8922,19.6765,22.4416,25.1829,27.8958,30.5756,33.2182,35.8193,38.3754,40.883,43.3393,45.742,48.0892,50.3796,52.6124,54.7875,56.9052,58.9668,60.974,62.9295,64.8367,66.7001,68.5255,70.3199,72.0922,73.8535,75.6175,77.4015,79.2276,81.1236,83.1256,85.2795,87.6452,90.299,93.3391,96.8893,101.104,106.171,112.315,119.793,128.892,139.912,153.149,168.865,187.256,208.415,232.294,258.679,287.18,317.244,348.215,379.424,410.345,440.815,471.326,503.393,539.925
7.83181E-20,3.22562,6.45088,9.67347,12.8902,16.097,19.289,22.4609,25.6068,28.7207,31.7964,34.828,37.8098,40.7364,43.6028,46.4047,49.1382,51.8003,54.3885,56.9009,59.3366,61.6952,63.9773,66.1843,68.3185,70.3832,72.3827,74.3229,76.2109,78.0557,79.8681,81.6618,83.4536,85.2639,87.1186,89.0493,91.0959,93.308,95.7475,98.4914,101.635,105.293,109.606,114.737,120.875,128.23,137.023,147.482,159.818,174.208,190.769,209.535,230.432,253.268,277.731,303.411,329.851,356.622,383.44,410.32,437.751,466.878,499.605
6.9666E-20,3.62748,7.25399,10.8765,14.491,18.0924,21.6747,25.2313,28.755,32.2382,35.6735,39.0535,42.371,45.6195,48.7928,51.8855,54.8928,57.811,60.6368,63.368,66.0033,68.5422,70.9853,73.3343,75.5917,77.7614,79.8488,81.8604,83.8047,85.6919,87.535,89.3492,91.1535,92.9708,94.8291,96.7625,98.8126,101.03,103.476,106.226,109.368,113.007,117.267,122.288,128.224,135.245,143.521,153.221,164.493,177.452,192.162,208.619,226.737,246.342,267.181,288.938,311.272,333.88,356.57,379.353,402.539,426.794,453.133
6.03785E-20,4.027,8.05229,12.0721,16.0814,20.0742,24.0433,27.9808,31.8782,35.7266,39.5172,43.2411,46.8899,50.4558,53.9316,57.3108,60.5877,63.7577,66.817,69.7629,72.5938,75.309,77.909,80.3956,82.7717,85.0417,87.2113,89.288,91.2812,93.2023,95.0652,96.8868,98.6874,100.491,102.328,104.231,106.244,108.417,110.808,113.487,116.536,120.048,124.13,128.9,134.484,141.016,148.625,157.434,167.544,179.025,191.904,206.151,221.673,238.312,255.849,274.023,292.553,311.182,329.716,348.076,366.324,384.662,403.367
5.09853E-20,4.42294,8.84334,13.2565,17.6566,22.0364,26.3877,30.7013,34.9673,39.1757,43.3161,47.3785,51.3533,55.2313,59.0042,62.6645,66.2058,69.6226,72.9105,76.0663,79.088,81.9746,84.7267,87.346,89.8356,92.2001,94.4458,96.5807,98.6148,100.56,102.432,104.247,106.027,107.797,109.586,111.43,113.368,115.449,117.729,120.271,123.149,126.445,130.25,134.661,139.78,145.711,152.552,160.388,169.286,179.283,190.377,202.523,215.622,229.522,244.027,258.899,273.882,288.715,303.16,317.012,330.09,342.204,353.054
4.19479E-20,4.81393,9.62441,14.4258,19.2113,23.9725,28.7001,33.3837,38.0123,42.5742,47.0581,51.4526,55.7468,59.9305,63.9943,67.9296,71.7293,75.387,78.8977,82.2578,85.4647,88.5173,91.4159,94.1623,96.7595,99.2125,101.528,103.713,105.78,107.74,109.609,111.404,113.147,114.864,116.582,118.336,120.165,122.114,124.234,126.584,129.227,132.236,135.685,139.656,144.23,149.485,155.494,162.314,169.985,178.52,187.898,198.059,208.901,220.274,231.991,243.823,255.513,266.781,277.327,286.826,294.899,301.054,304.584
3.36262E-20,5.19851,10.3926,15.5757,20.7397,25.8754,30.9723,36.0187,41.0023,45.9104,50.7303,55.4494,60.0556,64.5376,68.8849,73.0883,77.1394,81.0313,84.7583,88.3162,91.7022,94.9146,97.9537,100.821,103.52,106.054,108.432,110.66,112.751,114.716,116.571,118.333,120.024,121.668,123.294,124.933,126.623,128.405,130.326,132.437,134.795,137.461,140.498,143.971,147.945,152.478,157.621,163.411,169.868,176.986,184.73,193.03,201.779,210.83,219.996,229.049,237.725,245.717,252.675,258.178,261.705,262.571,259.826
