7.57863E-25,1.55708,3.11412,4.67109,6.22795,7.78468,9.34123,10.8976,12.4537,14.0095,15.565,17.1201,18.6749,20.2294,21.7834,23.3371,24.8906,26.4439,27.9971,29.5507,31.1048,32.66,34.2168,35.7759,37.338,38.9037,40.4736,42.0478,43.6256,45.206,46.7873,48.3674,49.9447,51.5191
1.66559E-25,1.46537,2.93071,4.39599,5.86118,7.32625,8.79116,10.2559,11.7204,13.1847,14.6488,16.1126,17.5761,19.0394,20.5024,21.9652,23.4279,24.8906,26.3535,27.8167,29.2807,30.7457,32.2123,33.6808,35.1519,36.6257,38.1027,39.5827,41.0653,42.5497,44.0349,45.5197,47.0033,48.4857
3.33939E-26,1.3737,2.74736,4.12098,5.49452,6.86796,8.24127,9.61444,10.9874,12.3603,13.7329,15.1053,16.4775,17.8496,19.2215,20.5934,21.9652,23.3371,24.7094,26.0821,27.4555,28.83,30.2058,31.5834,32.963,34.3448,35.729,37.1155,38.5039,39.8937,41.2842,42.6748,44.065,45.4547
6.1078E-27,1.28205,2.56407,3.84605,5.12797,6.4098,7.69153,8.97314,10.2546,11.536,12.8172,14.0982,15.3792,16.66,17.9408,19.2215,20.5024,21.7834,23.0648,24.3467,25.6293,26.9129,28.1977,29.4839,30.7718,32.0615,33.3531,34.6464,35.9412,37.2371,38.5337,39.8306,41.1275,42.4243
1.01911E-27,1.19042,2.38082,3.57118,4.7615,5.95174,7.14191,8.33198,9.52195,10.7118,11.9016,13.0913,14.2809,15.4704,16.66,17.8496,19.0394,20.2294,21.4197,22.6106,23.8022,24.9946,26.1881,27.3828,28.5789,29.7764,30.9754,32.1758,33.3774,34.5799,35.7831,36.9866,38.1903,39.3939
1.55124E-28,1.09881,2.1976,3.29637,4.39509,5.49377,6.59238,7.69092,8.78938,9.88778,10.9861,12.0844,13.1826,14.2809,15.3792,16.4775,17.5761,18.6749,19.7741,20.8738,21.9741,23.0752,24.1772,25.2803,26.3845,27.4898,28.5964,29.704,30.8126,31.922,33.032,34.1424,35.253,36.3636
2.15406E-29,1.00721,2.01441,3.02159,4.02874,5.03585,6.04291,7.04992,8.05689,9.0638,10.0707,11.0775,12.0844,13.0913,14.0982,15.1053,16.1126,17.1201,18.128,19.1364,20.1453,21.155,22.1654,23.1766,24.1889,25.202,26.2162,27.2312,28.2471,29.2636,30.2806,31.298,32.3156,33.3333
2.72869E-30,0.915629,1.83125,2.74685,3.66243,4.57798,5.4935,6.40898,7.32444,8.23986,9.15527,10.0707,10.9861,11.9016,12.8172,13.7329,14.6488,15.565,16.4815,17.3984,18.3159,19.2339,20.1526,21.0721,21.9923,22.9133,23.8351,24.7577,25.6809,26.6047,27.5289,28.4534,29.3782,30.303
3.15335E-31,0.824053,1.6481,2.47213,3.29615,4.12015,4.94412,5.76808,6.59201,7.41594,8.23986,9.0638,9.88778,10.7118,11.536,12.3603,13.1847,14.0095,14.8345,15.6599,16.4858,17.3122,18.1391,18.9667,19.7949,20.6238,21.4533,22.2835,23.1142,23.9453,24.7768,25.6086,26.4406,27.2727
3.32437E-32,0.732483,1.46496,2.19743,2.92989,3.66234,4.39477,5.12719,5.8596,6.59201,7.32444,8.05689,8.78938,9.52195,10.2546,10.9874,11.7204,12.4537,13.1872,13.921,14.6552,15.3899,16.125,16.8607,17.5969,18.3337,19.0709,19.8087,20.5469,21.2856,22.0245,22.7637,23.503,24.2424
3.19717E-33,0.640918,1.28183,1.92274,2.56364,3.20454,3.84542,4.48631,5.12719,5.76808,6.40898,7.04992,7.69092,8.33198,8.97314,9.61444,10.2559,10.8976,11.5395,12.1817,12.8242,13.4671,14.1104,14.7542,15.3983,16.043,16.688,17.3335,17.9793,18.6255,19.2719,19.9185,20.5653,21.2121
2.80507E-34,0.549355,1.09871,1.64806,2.19741,2.74675,3.29609,3.84542,4.39477,4.94412,5.4935,6.04291,6.59238,7.14191,7.69153,8.24127,8.79116,9.34123,9.89151,10.442,10.9928,11.5439,12.0954,12.6472,13.1993,13.7518,14.3047,14.8579,15.4114,15.9651,16.5191,17.0733,17.6275,18.1818
2.24512E-35,0.457795,0.915589,1.37338,1.83117,2.28896,2.74675,3.20454,3.66234,4.12015,4.57798,5.03585,5.49377,5.95174,6.4098,6.86796,7.32625,7.78468,8.24329,8.7021,9.16114,9.62043,10.08,10.5398,10.9999,11.4604,11.9211,12.382,12.8432,13.3046,13.7662,14.2279,14.6897,15.1515
1.63929E-36,0.366235,0.73247,1.0987,1.46494,1.83117,2.19741,2.56364,2.92989,3.29615,3.66243,4.02874,4.39509,4.7615,5.12797,5.49452,5.86118,6.22795,6.59487,6.96195,7.3292,7.69665,8.06431,8.43219,8.80029,9.1686,9.53714,9.90587,10.2748,10.6439,11.0131,11.3824,11.7518,12.1212
1.09193E-37,0.274676,0.549352,0.824028,1.0987,1.37338,1.64806,1.92274,2.19743,2.47213,2.74685,3.02159,3.29637,3.57118,3.84605,4.12098,4.39599,4.67109,4.94629,5.22161,5.49707,5.77267,6.04842,6.32433,6.6004,6.87663,7.15302,7.42956,7.70623,7.98302,8.2599,8.53686,8.81387,9.09091
6.63513E-39,0.183117,0.366235,0.549352,0.73247,0.915589,1.09871,1.28183,1.46496,1.6481,1.83125,2.01441,2.1976,2.38082,2.56407,2.74736,2.93071,3.11412,3.29759,3.48115,3.66479,3.84853,4.03237,4.21631,4.40035,4.58451,4.76876,4.95311,5.13755,5.32207,5.50664,5.69127,5.87593,6.06061
3.67812E-40,0.0915587,0.183117,0.274676,0.366235,0.457795,0.549355,0.640918,0.732483,0.824053,0.915629,1.00721,1.09881,1.19042,1.28205,1.3737,1.46537,1.55708,1.64882,1.7406,1.83242,1.92429,2.01621,2.10818,2.2002,2.29228,2.3844,2.47658,2.56879,2.66105,2.75333,2.84564,2.93797,3.0303
1.86004E-41,3.67812E-40,6.63513E-39,1.09193E-37,1.63929E-36,2.24512E-35,2.80507E-34,3.19717E-33,3.32437E-32,3.15335E-31,2.72869E-30,2.15406E-29,1.55124E-28,1.01911E-27,6.1078E-27,3.33939E-26,1.66559E-25,7.57863E-25,3.14581E-24,1.19123E-23,4.11506E-23,1.29681E-22,3.7282E-22,9.77777E-22,2.33938E-21,5.10602E-21,1.01668E-20,1.84673E-20,3.06016E-20,4.62599E-20,6.37948E-20,8.02575E-20,9.21098E-20,6.66135E-14
